# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
2.292960596469911e-05,650.4589586885162
2.2959735339219205e-05,645.7526859043721
2.381351991254162e-05,640.2038778165889
2.3837599404048954e-05,635.4340974201879
2.3853913127611474e-05,630.3548995883225
2.4743884912630186e-05,624.3781846922067
2.4769974007506613e-05,618.3737921262931
2.4793373191682524e-05,609.8140965965463
2.4817834031133226e-05,600.6751537183602
2.4840897291617814e-05,600.1969962376322
2.5768407135141306e-05,599.1862275890927
2.5796888174133705e-05,597.601207284607
2.5822974928339727e-05,594.8506478236492
2.5848000112793896e-05,591.7126393814823
2.587709638905437e-05,587.6286590244229
2.6846983005549705e-05,583.723084479507
2.6876120198712862e-05,579.9012742112615
2.6903356618659153e-05,575.3000737642344
2.6931543801564546e-05,570.7736705780973
2.6959663211408383e-05,565.7490361117298
2.7969132960518578e-05,558.3183065225971
2.7998705937516636e-05,550.9919990419446
2.8026733379218295e-05,546.7483669114054
2.8056982743684906e-05,545.0606793981576
2.80878467920492e-05,542.8383067835855
2.913835910689656e-05,540.0891071430675
2.9169963814771924e-05,537.2266621226269
2.9205975641455953e-05,532.8883035243305
2.9241435039970824e-05,529.0892074629451
2.927743470510008e-05,524.9671779735552
3.0377058421659753e-05,520.608599661864
3.041286367152296e-05,516.6229765821133
3.0447234533928972e-05,512.567587199907
3.0481025538864543e-05,508.8571830200219
3.051390817423842e-05,505.2773780310364
3.165586594040715e-05,501.9803651689049
3.169100488829908e-05,498.8979665645948
3.1726752807185886e-05,496.1821850770921
3.1763376453880215e-05,493.283492043466
3.18001914263479e-05,490.1915334838666
3.183364684877268e-05,486.75434290816537
3.186697685904164e-05,482.76519598594086
3.187989559489049e-05,479.0380583795547
3.188782073973589e-05,475.52449830019066
3.306042990696858e-05,472.1708487039997
3.30678617976692e-05,468.9232091930171
3.3065221774576164e-05,465.75903632500086
3.307394065694629e-05,462.2836144449922
3.3090609981912464e-05,458.85890613628317
3.3103917719199595e-05,455.56880177825036
3.311406871737909e-05,452.0125169481352
3.432254787514597e-05,448.10436443429916
3.4331631618441916e-05,443.9792673262461
3.4341151998606906e-05,439.7461429149047
3.4364341482506434e-05,435.7775044670742
3.439017737579838e-05,431.5158208858149
3.4406928071505675e-05,427.0519040564997
3.442117032888583e-05,422.4773335150207
3.443460210948857e-05,417.88933617818196
