# [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5],frequency [Hz]
2.0045139691469077e-05,706.4902580339999
2.0241874021730406e-05,703.353027967
2.0666857200574264e-05,700.2187166089999
2.0901488064211108e-05,697.090124512
2.1111707320694167e-05,693.8734033869998
2.1319060290836312e-05,690.7922332439999
2.1540766221441235e-05,687.8550808560001
2.176904387804093e-05,685.213468486
2.200315121775217e-05,682.377422652
2.2259998313988535e-05,679.33337737
2.2506316016371225e-05,676.293731151
2.2726699468107352e-05,673.420819713
2.2941107422127128e-05,670.795747818
2.295346665047062e-05,668.101491811
2.3191720259923784e-05,665.4040122069999
2.344499190684345e-05,662.633569419
2.3685908349710222e-05,659.834788407
2.3928085597363645e-05,657.104745359
2.418728914538512e-05,654.215628535
2.444897039435752e-05,651.17397286
2.469663550997529e-05,648.109282574
2.4713606969485715e-05,645.158523293
2.494540092920383e-05,642.243099026
2.5192895341084573e-05,639.343306574
2.54537240244166e-05,636.551993805
2.5693615017099073e-05,633.996075881
