time,x [Mshock**0.5 * Rshock**-1.5 * p *rho**-2.5]
0.588,5.504945434487477e-06
0.589,5.705975853063266e-06
0.59,5.707318641317559e-06
0.591,5.709470007555679e-06
0.592,5.919639711081806e-06
0.593,5.921339563616945e-06
0.594,5.9214305011139515e-06
0.595,5.9246817824714894e-06
0.596,6.142582866029146e-06
0.597,6.143522066958772e-06
0.598,6.146426571752636e-06
0.599,6.1503327104779854e-06
0.6,6.151364765524777e-06
0.601,5.938068974475525e-06
0.602,6.155399995081368e-06
0.603,6.15780193581159e-06
0.604,6.382477726849482e-06
0.605,6.384318686922884e-06
0.606,6.387245260694919e-06
0.607,6.620238421854338e-06
0.608,6.622551386325717e-06
0.609,6.86538494388413e-06
0.61,6.868554194107172e-06
0.611,6.630740275459103e-06
0.612,6.632167564592831e-06
0.613,6.39879252891115e-06
0.614,6.176112521442645e-06
0.615,6.176702735733191e-06
0.616,6.402003493677722e-06
0.617,6.402284032041253e-06
0.618,6.635267713104396e-06
0.619,6.8767952816028606e-06
0.62,7.1268024464645746e-06
0.621,6.878548163374536e-06
0.622,6.87911216869551e-06
0.623,6.638197252293509e-06
0.624,6.880695556766601e-06
0.625,7.133354294147512e-06
0.626,7.135382744632027e-06
0.627,7.137664984236855e-06
0.628,7.139419428970269e-06
0.629,7.400337089164292e-06
0.63,7.403083819195311e-06
0.631,7.405131723973554e-06
0.632,7.406602598060702e-06
0.633,7.408338292456943e-06
0.634,7.409539212635629e-06
0.635,7.67944967627424e-06
0.636,7.413056209479772e-06
0.637,7.416570178231007e-06
0.638,7.418064345746393e-06
0.639,7.4204568484161936e-06
0.64,7.691223495523136e-06
0.641,7.971545190476598e-06
0.642,7.693622441052675e-06
0.643,7.426985307769421e-06
0.644,7.429673043696019e-06
0.645,7.43349163363632e-06
0.646,7.43667772663003e-06
0.647,7.440568951119333e-06
0.648,7.714290801514333e-06
0.649,7.717997874054777e-06
0.65,7.451052306234612e-06
0.651,7.724854481562905e-06
0.652,7.729143370244569e-06
0.653,8.012853908778475e-06
0.654,8.01624469840611e-06
0.655,8.020392385849383e-06
0.656,8.022170256696747e-06
0.657,8.02630317399041e-06
0.658,8.028469350397059e-06
0.659,7.750756810449003e-06
0.66,8.037316177095842e-06
0.661,8.636798770600033e-06
0.662,8.64114628875745e-06
0.663,8.34265275933148e-06
0.664,8.054323399072658e-06
0.665,8.349688475398486e-06
0.666,8.3533909358809e-06
0.667,8.355415512453263e-06
0.668,8.065560026675576e-06
0.669,8.361318871092774e-06
0.67,8.669590802076647e-06
0.671,8.675283195100057e-06
0.672,8.676770145715941e-06
0.673,8.376682867375619e-06
0.674,8.683564666246884e-06
0.675,8.688071892762887e-06
0.676,8.389714253579984e-06
0.677,8.10026345961365e-06
0.678,8.396675786747195e-06
0.679,8.401133666815512e-06
0.68,8.402569310028208e-06
0.681,7.825877220705356e-06
0.682,7.830620734218652e-06
0.683,8.118948732290177e-06
0.684,8.123899012932197e-06
0.685,8.127888042004023e-06
0.686,8.130333785947861e-06
0.687,8.427555508377192e-06
0.688,8.429559102922283e-06
0.689,8.433379059159695e-06
0.69,8.14228821702218e-06
0.691,8.7466491626998e-06
0.692,8.444434076287141e-06
0.693,8.152330573786392e-06
0.694,8.45136357945822e-06
0.695,8.761794194320986e-06
0.696,9.083151810241833e-06
0.697,9.085243341774765e-06
0.698,9.087764342120591e-06
0.699,9.092746270695414e-06
0.7,8.779610821826116e-06
0.701,8.783245070567766e-06
0.702,8.785954180712578e-06
0.703,9.10746261315505e-06
0.704,9.784183667576695e-06
0.705,9.788509632980067e-06
0.706,9.118779808798325e-06
0.707,9.12227150063979e-06
0.708,9.797943446790028e-06
0.709,9.12801764723442e-06
0.71,9.130656567005297e-06
0.711,9.808476668611695e-06
0.712,1.016876137772519e-05
0.713,1.0172801495480096e-05
0.714,1.017593710055928e-05
0.715,9.823158930378324e-06
0.716,9.827369093500991e-06
0.717,1.0186831463489317e-05
0.718,9.833665349139213e-06
0.719,9.838513764167058e-06
0.72,9.840817550732075e-06
0.721,1.0572317487542148e-05
0.722,1.0574363903544884e-05
0.723,1.0207704459557412e-05
0.724,1.0211899413302356e-05
0.725,1.058736542439588e-05
0.726,1.0590914370384608e-05
0.727,1.0224953810776457e-05
0.728,1.0599582722863047e-05
0.729,1.0987486671825173e-05
0.73,1.0235019327250083e-05
0.731,9.880537593028118e-06
0.732,9.883850796746692e-06
0.733,1.0617199225086298e-05
